,tomato,grape,Group Number,Species 1 Score,Species 2 Score,Total Score
80,LOC101263643,LOC100243701,20,0.842925567864594,0.7390294225714366,0.7909774952180153
81,LOC101263643,LOC100242025,20,0.8341688460521289,0.8135439925383681,0.8238564192952484
82,LOC101253645,LOC100265732,20,0.8176427375040405,0.7092902970520901,0.7634665172780652
83,LOC101253645,LOC100258785,20,0.8023919367635391,0.9052259687402843,0.8538089527519117
84,LOC101253645,LOC100243701,20,0.7864182656989215,0.752618637121619,0.7695184514102702
85,LOC101253645,LOC100242025,20,0.8076107078839881,0.8804348850136138,0.844022796448801
86,LOC101246350,LOC100265732,20,0.8922453057506391,0.6803482094909697,0.7862967576208044
87,LOC101246350,LOC100258785,20,0.9645617231347888,0.8737175320087053,0.919139627571747
88,LOC101246350,LOC100243701,20,0.9549175751520672,0.7721715044798055,0.8635445398159364
89,LOC101246350,LOC100242025,20,0.9471834503834738,0.9207955305578324,0.9339894904706532
90,LOC101252786,LOC100265732,20,0.8928976521406953,0.7282552782566915,0.8105764651986933
91,LOC101252786,LOC100258785,20,0.9407951573565279,0.8809417483960317,0.9108684528762798
92,LOC101252786,LOC100243701,20,0.9356527871646441,0.6344478674995054,0.7850503273320748
93,LOC101252786,LOC100242025,20,0.9241750168963592,0.8585712984684184,0.8913731576823888
94,LOC101247411,LOC100265732,20,0.7886867855778554,0.7623583279161131,0.7755225567469843
95,LOC101247411,LOC100258785,20,0.798242778643002,0.9223990277267461,0.860320903184874
96,LOC101247411,LOC100243701,20,0.8075401839499281,0.7260733161866538,0.7668067500682909
97,LOC101247411,LOC100242025,20,0.7960800446651582,0.8747632910319098,0.835421667848534
98,LOC101267143,LOC100265732,20,0.7731018357212122,0.6348944348661711,0.7039981352936917
99,LOC101267143,LOC100258785,20,0.8126540087399304,0.8554139227268873,0.8340339657334088
100,LOC101267143,LOC100243701,20,0.8578648878963299,0.733048811509002,0.795456849702666
101,LOC101267143,LOC100242025,20,0.835943698392642,0.837700083849147,0.8368218911208944
102,LOC101248904,LOC100265732,20,0.9146484088037378,0.710844803708205,0.8127466062559714
103,LOC101248904,LOC100258785,20,0.9649437277776145,0.9014781945111784,0.9332109611443964
104,LOC101248904,LOC100243701,20,0.9561106050365843,0.7547610299313191,0.8554358174839517
105,LOC101248904,LOC100242025,20,0.9506450001469249,0.8905407484871039,0.9205928743170144
106,LOC101266105,LOC100252693,21,0.7972848285386853,0.9209575761001668,0.8591212023194261
107,JJH1,LOC100251987,23,0.78268637418824,0.9017156100732031,0.8422009921307216
108,LOC101262678,LOC100245260,24,0.7048397049748759,0.8758316610610214,0.7903356830179487
109,LOC101258822,LOC100241287,25,0.9928653286709176,0.984025324326616,0.9884453264987668
110,LOC101262925,LOC100241287,25,0.9911610002644646,0.991419123258246,0.9912900617613554
111,LOC101248963,LOC100261013,26,0.916511416061826,0.9156892117238066,0.9161003138928163
112,FIE,LOC100246903,27,0.8407216949252152,0.8199711709674684,0.8303464329463418
113,LOC101268738,LOC100243937,28,0.46276042431900327,0.4897355454434112,0.47624798488120723
114,LOC101260710,LOC100243937,28,0.5930736354761509,0.5499813145159518,0.5715274749960513
115,LOC101246577,LOC100243937,28,0.5932708412917633,0.5637865897892466,0.578528715540505
116,LOC100736533,LOC100260328,29,0.7435044518233376,0.822232271558181,0.7828683616907592
117,LOC100736533,LOC100242817,29,0.6370662043430989,0.7370748267274652,0.6870705155352821
118,LOC101254537,LOC100258261,30,0.9851370808968293,0.9229416918685169,0.954039386382673
119,LOC101253278,LOC100263618,31,0.8462401927654198,0.7772137587970944,0.8117269757812571
