sp1_gene,sp2_gene,fc,sc
Os03g0784700,LOC101251845,0.347596848207245,0.122929069392405
Os07g0147900,LOC101251845,0.405926164517066,0.409059654175608
Os11g0482500,LOC104646307,0.603819164683867,0.523923551127349
Os11g0160700,LOC104646307,0.55154910970173,0.388038869305306
Os11g0482500,LOC101252503,0.793650894776079,0.904576919109519
Os11g0160700,LOC101252503,0.857354759182346,0.957132215098676
Os11g0482500,LOC101258507,0.843530836727405,0.974523203646466
Os11g0160700,LOC101258507,0.881779429704198,0.985101810437375
Os02g0469600,LOC101258107,0.582168009812569,0.773121898928791
Os03g0102400,LOC101263091,0.825100182907436,0.964809995104746
Os07g0466200,LOC101263091,0.808657765296698,0.892887855010878
Os05g0357800,LOC101251880,0.777760652273702,0.665513204824657
Os04g0577200,LOC101263759,0.50366034138518,0.464385210884408
Os02g0717600,LOC101262986,0.787053209793354,0.951844461954097
Os05g0316000,LOC101251454,0.758405989591558,0.849820167360042
Os05g0316000,LOC101246930,0.813277219929453,0.921219074562768
Os05g0316000,LOC101258505,0.788916765888634,0.758645510293449
Os01g0760400,LOC101259964,0.608947229187197,0.499002624758286
Os03g0801700,LOC101268091,0.760617111323424,0.818032189117267
Os01g0919700,LOC101263149,0.870702065695943,0.985949339889024
Os07g0408100,LOC101251281,0.9206798576561,0.977111346377715
Os03g0279400,LOC101265059,0.806726031777919,0.984879799473877
Os02g0527100,LOC101243672,0.794893087769621,0.918867450135595
Os02g0527100,LOC101267090,0.851555329785938,0.957542529573678
Os09g0128600,LOC101264494,0.778572662303847,0.970502821505246
Os01g0899000,LOC101252374,0.72974986902717,0.862594648123525
Os03g0844100,LOC101252374,0.716786803384294,0.874840188153484
Os07g0503900,LOC101260064,0.421053863019134,0.32646891976104
Os02g0720600,LOC101264237,0.53329040232647,0.883987906751662
Os09g0534000,LOC101250183,0.723368188737114,0.925909959005352
Os09g0534000,LOC101250011,0.446112227843505,0.20447473568311
Os01g0716200,LOC101257720,0.79881305543584,0.946272502046265
Os05g0535900,LOC101257720,0.799792133577184,0.966120521023352
Os01g0716200,LOC101259151,0.743135147297395,0.950934869391784
Os05g0535900,LOC101259151,0.752548842584992,0.94989338387337
Os01g0227200,LOC101249989,0.57273650097662,0.867109677502792
Os05g0218400,LOC101249989,0.7466278436492,0.965358465460928
Os03g0773800,gMDH,0.909491941940341,0.989398721066469
Os12g0632700,gMDH,0.274696867172133,0.179405956071826
Os03g0773800,LOC101249428,0.463774638661477,0.367558401046567
Os12g0632700,LOC101249428,0.768862401069766,0.990695991344921
Os03g0207300,LOC101246108,0.68970016035078,0.675236263319873
Os07g0114400,LOC101246108,0.644171663072547,0.456548980200744
Os03g0207300,LOC101256338,0.828651201539526,0.962693703625771
Os07g0114400,LOC101256338,0.792411154580107,0.833570335952589
Os03g0207300,LOC101244750,0.735199219511433,0.878263173047831
Os07g0114400,LOC101244750,0.746970078864288,0.941807124924718
Os12g0279600,LOC101256863,0.759070172863715,0.778731334658791
Os01g0510100,mek1,0.733971879213231,0.872678300279994
Os06g0147800,mek1,0.750716424655164,0.900204128012455
Os03g0764800,LOC101268620,0.696535506751856,0.876373875007708
Os12g0586100,LOC101268620,0.522296493064125,0.580930767352776
Os03g0764800,LOC101251432,0.577256128628644,0.65117801507364
Os12g0586100,LOC101251432,0.72541198732835,0.936192651432243
Os03g0685600,LOC101261533,0.883431217691956,0.970013521637553
Os01g0196600,LOC101247343,0.786688579199821,0.815210993478694
Os01g0196600,LOC101247040,0.684126403977219,0.488025322633745
Os02g0132200,LOC101254599,0.780902974106475,0.917758399332224
Os05g0256000,LOC101262979,0.952713570131302,0.983219034066057
Os08g0308100,LOC101262979,0.963285890369439,0.985808141004698
Os02g0258900,LOC101248709,0.749058194050016,0.866280972210136
Os12g0507000,LOC101248709,0.700351241476221,0.883212268249326
Os03g0157300,LOC101266587,0.740347009941658,0.943712774683778
Os03g0157300,LOC101257153,0.658690553075558,0.868902074911502
Os05g0440250,LOC101257380,0.548217432022367,0.433080711881217
Os02g0828200,LOC101256540,0.702792165390965,0.976228961713439
Os02g0828500,LOC101256540,0.533589196760321,0.744172124854525
Os03g0227300,LOC101265105,0.838846134184653,0.985794305955514
Os04g0460300,LOC101252396,0.572759631051334,0.926122261550384
Os01g0258700,LOC101268508,0.849866797959682,0.963413256660977
Os01g0257400,LOC101268508,0.691822148776847,0.649379808094245
Os01g0258700,LOC101257081,0.754404434935953,0.804029011797378
Os01g0257400,LOC101257081,0.771978489531348,0.946064542857466
Os01g0258700,LOC101250699,0.635246071025284,0.528422600317132
Os01g0257400,LOC101250699,0.638529646342705,0.615879578864995
Os01g0258700,LOC101256414,0.69134700039426,0.556317102476466
Os01g0257400,LOC101256414,0.701895882451986,0.724480882461005
Os08g0543900,LOC101250636,0.718892416754491,0.81283696228708
Os08g0543900,vsf-1,0.655254238701228,0.576467137304256
Os07g0452400,LOC101265711,0.772480963179329,0.914178719679249
Os04g0656100,LHA4,0.673535548360137,0.828158334955015
Os02g0130900,LOC101246799,0.715133315801995,0.525886998042809
Os05g0220100,LOC101262186,0.607792851652431,0.287960721180777
Os10g0524100,LOC101262186,0.649417540422147,0.613737359937708
Os05g0220100,LOC101262893,0.731465946791105,0.703134540483835
Os10g0524100,LOC101262893,0.648010825654346,0.585991184278353
Os05g0220100,LOC101268400,0.569169547949919,0.266653867476983
Os10g0524100,LOC101268400,0.66911791873011,0.754907747069365
Os05g0220100,LOC101258216,0.904253456649352,0.997375794585399
Os10g0524100,LOC101258216,0.642275457497143,0.408666197849572
Os01g0940700,LOC101253852,0.78478093898046,0.984396200814111
Os07g0414200,LOC101252645,0.804433254865493,0.924191122217011
Os04g0229100,LOC101245999,0.339125520431515,0.64710615398822
Os10g0430200,LOC101245999,0.625415428603709,0.936747269716292
Os04g0229100,LOC101249426,0.7791666948981,0.988014366937827
Os10g0430200,LOC101249426,0.380693625167405,0.745080777535779
Os04g0229100,LOC101259903,0.683495790557536,0.973120034204771
Os10g0430200,LOC101259903,0.351930171492415,0.55397926444581
Os04g0229100,LOC101253340,0.478299213787648,0.811473982159456
Os10g0430200,LOC101253340,0.664656593109892,0.953130278952541
Os04g0229100,LOC104644298,0.465512272757041,0.852012485264987
Os10g0430200,LOC104644298,0.464088317469336,0.837481229690663
Os04g0229100,LOC543602,0.685269619479737,0.963429002433067
Os10g0430200,LOC543602,0.574572659741054,0.886247124284625
Os03g0215800,LOC101253301,0.832431986232026,0.85153145192764
Os01g0586600,LOC101251498,0.549085287538047,0.552422284021724
Os01g0635400,LOC101247869,0.647810214114794,0.560272298890421
Os08g0176800,LOC101247869,0.74452100226535,0.80704873906486
Os02g0709400,LOC101266917,0.896369557683441,0.957717301009422
Os02g0542400,LOC101264265,0.645968380402811,0.661837588747661
Os11g0163500,LOC101264265,0.716239377187039,0.768373115601505
Os12g0163500,LOC101264265,0.775407267347998,0.907060898693127
Os03g0686900,LOC101255617,0.754149594253445,0.898761868364655
Os03g0686900,LOC101254994,0.718577636637281,0.727104366931547
Os02g0116800,LOC101245575,0.761418164932482,0.962439871606851
Os03g0120200,LOC101245575,0.638825599690809,0.855622216785508
Os02g0116800,LOC101243914,0.675030422669818,0.65117843525576
Os03g0120200,LOC101243914,0.545146784519764,0.484217873310739
Os07g0567700,LOC101256307,0.548233229067129,0.859997933677021
Os11g0124300,LOC101256307,0.477096119972779,0.43444164638536
Os12g0122000,LOC101256307,0.409094230396006,0.259568497819463
Os07g0567700,LOC101255150,0.604409175434578,0.837629655707459
Os11g0124300,LOC101255150,0.676317998087001,0.905041065548597
Os12g0122000,LOC101255150,0.670915046152776,0.952317613559459
Os05g0411300,LOC101263260,0.822330709278103,0.95194923768304
Os07g0644100,LOC101263260,0.692948920232787,0.835549433546291
Os04g0524400,LOC101252515,0.807878162645324,0.885803159856235
Os07g0240300,LOC101252515,0.741882783336773,0.819585009738362
Os04g0524400,LOC101244740,0.742600521372662,0.698956915135746
Os07g0240300,LOC101244740,0.719694324259331,0.678835569900838
Os03g0207200,LOC101264319,0.561772528070222,0.449896367166424
Os10g0343100,LOC101264319,0.621837626210321,0.858329613836974
Os03g0207200,LOC101257750,0.481797625177228,0.318499847394277
Os10g0343100,LOC101257750,0.716672255735609,0.978678680973841
Os03g0415200,LOC101252242,0.381114068684527,0.168738536049578
Os03g0832400,LOC101264636,0.598177760342965,0.5827055215354
Os04g0610800,LOC101260673,0.878143681338128,0.953120099487803
Os03g0563300,LOC101255435,0.985511140902519,0.998389694041868
Os02g0717500,LOC101260182,0.601164839478452,0.718989265797558
Os02g0735200,LOC101261030,0.578971393657906,0.915300263160504
Os03g0223400,LOC101261030,0.525047723278127,0.750030520702333
Os04g0659100,LOC101261030,0.667252969727759,0.863294587499649
Os02g0703900,LOC101251116,0.51775752082469,0.347903533155762
Os06g0708700,LOC101251116,0.52506521066447,0.676493828599433
Os02g0703900,LOC101251708,0.429913083654499,0.351491127712993
Os06g0708700,LOC101251708,0.343783575463972,0.294858689612609
Os02g0703900,LOC101251408,0.507638298738472,0.272405846674094
Os06g0708700,LOC101251408,0.379184911723733,0.204858116484197
Os02g0703900,LOC101261999,0.756646663516118,0.928171407926522
Os06g0708700,LOC101261999,0.496321984324426,0.319067305559331
Os04g0455800,LOC101257453,0.54737100103044,0.575758416121817
Os02g0702400,LOC101251798,0.567736870642394,0.735427458215122
Os02g0702400,LOC101257588,0.417880961736891,0.361225305554005
Os01g0151600,LOC101266600,0.70292735672873,0.85484929398656
Os03g0170300,LOC101252666,0.544407375459711,0.506210052898806
Os01g0865400,LOC101257330,0.654730730786258,0.904633665810619
Os02g0589400,LOC101257330,0.372660496712608,0.477356668602954
Os01g0865400,LOC101249878,0.535946639014405,0.735672375738635
Os02g0589400,LOC101249878,0.553785647406083,0.786071571310138
Os01g0865400,LOC101249320,0.534533574634791,0.853721242105408
Os02g0589400,LOC101249320,0.450719521552122,0.710174070483507
Os01g0865400,LOC101250468,0.385626614009745,0.519462019777946
Os02g0589400,LOC101250468,0.648078528503722,0.979209870787452
Os01g0865400,LOC101249599,0.401077817645541,0.581767179670113
Os02g0589400,LOC101249599,0.582331087037787,0.898979451935496
Os01g0865400,LOC101264172,0.486421106806626,0.790043774042545
Os02g0589400,LOC101264172,0.561663202769522,0.908299241746422
Os01g0865400,LOC101245147,0.355033968302387,0.39034183221997
Os02g0589400,LOC101245147,0.541221044365184,0.92015700675491
Os01g0742000,LOC101264218,0.860439938623752,0.95028996502749
Os03g0681700,LOC101258340,0.627752927499058,0.456515741583538
Os01g0829800,LOC101258932,0.750875298709581,0.9336549946885
Os07g0630800,LOC101258932,0.347104037083633,0.409516407620851
Os08g0434300,LOC101258932,0.717659403904902,0.889045563744153
Os01g0829800,LOC101248141,0.556820355683241,0.499355153134312
Os07g0630800,LOC101248141,0.531344740136133,0.73870020809807
Os08g0434300,LOC101248141,0.452899090522034,0.260744249217216
Os08g0542200,LOC101268149,0.5260083178627,0.296738962583083
Os08g0542200,LOC101250459,0.549460089905487,0.509377965131235
Os08g0542200,LOC101251707,0.780637129847791,0.935050180669908
Os08g0542200,LOC101248228,0.758438273859315,0.842046402277284
Os09g0123300,LOC101264441,0.76333048933495,0.962871451720115
Os03g0363200,LOC101256734,0.918984343243044,0.945920442505025
Os02g0625500,LOC101244800,0.687902322681593,0.961685697776411
Os04g0518000,LOC101244800,0.538488597936084,0.293624455498153
Os02g0625500,LOC101251530,0.78242064128397,0.994197156651475
Os04g0518000,LOC101251530,0.546582992919912,0.323263410074777
Os10g0208500,LOC101264669,0.49645254757801,0.590373248131368
Os02g0208900,LOC101255345,0.830762674331985,0.866007721142801
Os02g0208900,LOC101246217,0.863723807636947,0.975078843636513
Os04g0458300,LOC109119603,0.704215188962521,0.827590304015387
Os04g0458300,LOC101256341,0.611505725279174,0.608301629707757
Os04g0458300,LOC101257126,0.607875016310214,0.528148780898192
Os04g0458300,LOC101249166,0.645341283364055,0.799924135454721
Os10g0502400,LOC101252440,0.591373758856122,0.594912413656223
Os10g0502400,LOC101266935,0.830911964073074,0.997195271077576
Os03g0669800,LOC104646027,0.792598964783412,0.971713620514809
Os07g0597200,LOC101255483,0.769488712283263,0.98960594161933
Os07g0597200,LOC101256297,0.700942415937302,0.974181055980298
Os03g0276900,LOC101255423,0.568450271448478,0.602263128322762
Os02g0724000,LOC101250503,0.591364519862036,0.747537084809533
Os06g0298200,LOC101250503,0.543345653789711,0.619929962009609
Os02g0724000,LOC101267825,0.764187366735146,0.994729956426053
Os06g0298200,LOC101267825,0.596747018726152,0.85454588268892
Os02g0724000,LOC101257930,0.822096443655593,0.997877235504887
Os06g0298200,LOC101257930,0.663529189525338,0.927930800586971
Os05g0542600,LOC101265551,0.57688169312664,0.320757804380879
Os01g0673500,LOC101249324,0.706375454974864,0.716407472239297
Os12g0635500,LOC101257059,0.535995605340672,0.577835447110354
Os12g0635500,LOC101261829,0.547930907557171,0.830039052433943
Os12g0635500,LOC101267146,0.528494738403005,0.647183962870974
Os12g0515600,LOC101246321,0.791155723520961,0.952271614674702
Os12g0515600,LOC101261672,0.619251371283197,0.784300793377265
Os02g0714300,LOC101244579,0.557781600698697,0.379649530781742
Os06g0622300,LOC101244579,0.762755305908329,0.687337439830694
Os02g0714300,LOC101247508,0.49853390011,0.416605959196212
Os06g0622300,LOC101247508,0.559364467687542,0.441148511565876
Os06g0664200,LOC101253137,0.892000570852188,0.961509132826459
Os06g0664200,LOC101266629,0.853805972291632,0.942468411968736
Os06g0664200,LOC101260852,0.852230527950552,0.95918830332574
Os06g0664200,LOC101264273,0.82914031636571,0.932075477022367
Os06g0664200,LOC101262700,0.712599590846489,0.849642268884729
Os01g0908800,LOC101261049,0.490294809034303,0.337485559777988
Os06g0593100,LOC101252106,0.562113592240113,0.502293112961169
Os06g0593100,LOC101259743,0.872403712097278,0.998761272148341
